frame,track_id,center_x,center_y
538,1,238.83554878367664,525.3053233391591
539,1,238.86689147281663,528.3153555971509
540,1,239.00962808459917,529.4151749080274
541,1,239.02412197815835,530.8918936568905
542,1,238.90599359539044,531.9971508103903
543,1,238.77739513249225,533.5209698861627
544,1,238.655785275823,535.3281421261468
545,1,238.48993519849736,536.4141636421692
546,1,238.5934430846815,536.9103886333623
547,1,238.86720991101572,539.1537424564677
548,1,238.7136583556374,542.2424905447585
549,1,238.60847974200126,544.4180669037887
550,1,238.62104119895383,544.241011657717
551,1,238.49142780797277,542.5001522858811
552,1,238.582441013734,542.6278475656043
553,1,238.72648696026073,544.6701735580867
554,1,238.70755410234872,546.7396789653944
555,1,238.78342162197424,548.5747487573948
556,1,238.53430637700956,549.5002733211828
557,1,238.46516523084608,545.7065930633664
558,1,238.85203544515107,542.9686511318729
559,1,239.1673917964834,542.2718215234935
560,1,239.24699912242693,543.2235624112246
561,1,238.8091785375677,546.5052031364538
562,1,238.51115392785303,548.512757810966
563,1,238.50074884712296,550.8266242863564
564,1,238.5946144540098,550.8450369913998
565,1,238.63688379173124,550.1802485560876
566,1,238.82869058560334,549.3767647260569
567,1,238.90281328251123,549.3724684488426
568,1,238.78163392648747,548.6685048697548
569,1,238.89802809311232,549.4125354644451
570,1,238.77367280715345,549.9751037699614
571,1,238.6198030099868,549.8032514839131
572,1,238.60195033999844,549.642176603843
573,1,238.6609543634762,549.7027990422905
574,1,238.7010352150402,550.445069386495
575,1,238.70074406208397,551.4878597768258
576,1,239.13023510417887,552.5528869239909
577,1,239.21538235962248,553.2356526840578
578,1,238.70748659853274,550.5191610679998
579,1,238.64865453777813,548.7349503377675
580,1,238.70836695939903,549.5843198244833
581,1,238.77865409355016,551.2555434756159
582,1,238.66703652071536,554.0909433909703
583,1,238.5657388628989,556.1370236622686
584,1,238.59822844557266,556.2893136347575
585,1,238.58727744139537,555.8592763740063
586,1,238.62236477548925,554.7709095868571
587,1,238.4209035970542,555.5553668627339
588,1,238.6245828950441,558.3045689313051
589,1,238.72692725988702,560.6435304992392
590,1,238.3165314513039,564.1282075455356
591,1,238.11148932085501,567.4279183163418
592,1,238.1749966338714,566.0563335679612
593,1,237.57807828451465,566.7853265187402
594,1,238.1934303596596,566.2509809678086
595,1,238.26920461242958,565.1367706348825
596,1,238.21632991244704,565.4751276757984
597,1,238.29638606842605,566.4986561831265
598,1,238.19391163514328,566.9625940104996
599,1,237.9861627605367,566.794395831292
600,1,238.28160254021628,566.4442457020215
601,1,238.35646537281917,565.810725291151
602,1,238.42549773852713,562.7635100120557
603,1,238.4559184783596,563.4492363592976
604,1,238.56726139930035,563.4979314144305
605,1,238.3100966751628,561.3019600160203
606,1,238.69788888349711,561.4655960070386
607,1,238.92832778482858,565.6183130558295
608,1,238.8216981603298,564.1061580394488
609,1,238.889020532352,565.9186843716569
610,1,238.88106066292167,568.1240008126804
611,1,238.9428419039046,569.7670616732316
612,1,238.81714891799186,571.1278617071769
613,1,238.84782645011052,571.5013550468466
614,1,238.93949842438053,571.9826774945324
615,1,238.94837328939724,571.9077810210696
616,1,239.09092331621005,571.1857146159545
617,1,239.0107569514482,571.4589793542522
618,1,238.99059899777956,571.6734505429342
619,1,238.94269020508324,572.7176310702885
620,1,238.90670362956666,573.1442415244666
621,1,238.89285709633475,573.9782433136306
622,1,239.17640058755217,573.8201122936752
623,1,239.21142894192002,573.360048319864
624,1,239.10945290543225,574.2951710746431
625,1,239.15015836013362,573.423478359419
626,1,239.19398798827518,573.9999394366813
627,1,239.22475318657553,576.0469740796244
628,1,239.4165758500422,576.7658821277508
629,1,239.30761875428158,576.0730534542142
630,1,239.2629711377674,574.8097152057524
631,1,239.13766609502972,574.3053218691001
632,1,239.07193754679537,573.5676593204827
633,1,238.98248484145063,574.0417378533044
634,1,239.09263197157432,574.2960734045165
635,1,239.05422905339742,574.9938401069642
636,1,239.25198809106416,574.9397586047953
637,1,239.00919696933028,574.9263090214354
